GUID a712be57291044c3abd3268de911c117
Type Melee
Useable Melee
Slot Secondary
ID 45442

Size_X 2
Size_Y 3
Size_Z 0.65
Size2_Z 0.6

Range 2
Weak 0.33
Strong 0.33
Strength 1.5
Stamina 25

Player_Damage 0
Player_Leg_Multiplier 0
Player_Arm_Multiplier 0
Player_Spine_Multiplier 0
Player_Skull_Multiplier 0

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 25
Resource_Damage 125
Object_Damage 25

Durability 0.15

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 45441
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
