GUID f88408994e4841038e42b7eaadb7f9dc
Type Gun
Rarity Mythical
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Tertiary
ID 30802

Size_X 1
Size_Y 1
Size_Z 1.3

Magazine 31151

Ammo_Min 1
Ammo_Max 1

Safety
Auto

Should_Drop_On_Death False

Infinite_Ammo True

Magazine_Calibers 1
Magazine_Caliber_0 25053

Can_Aim_During_Sprint True

BladeIDs 2
BladeID_0 0
BladeID_1 2

Player_Damage_Bleeding Always

Muzzle 30037




Shell 30006

////////////////////////////////////////Balance Stats

Range 500
Ballistic_Steps 50
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1000

Equipable_Movement_Speed_Multiplier 5



Firerate 2
Action Minigun

Player_Damage 15
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.7

Zombie_Damage 250
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.7

Animal_Damage 250
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.7

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 15
Resource_Damage 30
Object_Damage 30

Durability 0

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X 0.04
Shake_Min_Y -0.04
Shake_Min_Z 0
Shake_Max_X 0.05
Shake_Max_Y -0.05
Shake_Max_Z -0.05

Recoil_Crouch 1.1
Recoil_Prone 2.5
Recoil_Midair 3

Spread_Aim 0.01
Spread_Hip 0.01
Spread_Prone 0.5
Spread_Crouch 0.75
Spread_Midair 3
