GUID 02bc0dfcf2c34789bcd09032717ca39b

Type Food
Rarity Epic
Useable Consumeable
ID 31634

Size_X 4
Size_Y 2
Size_Z 0.45

Quest_Rewards 4
Quest_Reward_0_Type Item
Quest_Reward_0_ID 30627
Quest_Reward_0_Amount 1
Quest_Reward_1_Type Item
Quest_Reward_1_ID 31295
Quest_Reward_1_Amount 1
Quest_Reward_2_Type Item
Quest_Reward_2_ID 31122
Quest_Reward_2_Amount 2
Quest_Reward_3_Type Item
Quest_Reward_3_ID 31580
Quest_Reward_3_Amount 1

Master_Bundle_Override classicweapons.masterbundle
Bundle_Override_Path /Items/Other/Supplies/PS_Weapon_Case_CARG
