GUID 482af5479b4440e4895645e1bc8aa839


Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 63144

Unplace 0.11
Replace 0.65

Aim_In_Duration 0.35
EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_DMR.wav

Size_X 5
Size_Y 2
Size_Z 0.45


Hook_Sight
Magazine 63143

Ammo_Min 1
Ammo_Max 1

Semi
Safety

Attachment_Calibers 1
Attachment_Caliber_0 18905

Magazine_Calibers 1
Magazine_Caliber_0 19143

Firerate 50
Action Trigger

Player_Damage 115
Player_Leg_Multiplier 0.33
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 215
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 215
Animal_Leg_Multiplier 0.33
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 100
Structure_Damage 100
Vehicle_Damage 900
Resource_Damage 444
Object_Damage 333



Spread_Aim 0.002
Spread_Hip 0.26

Range 700
Ballistic_Steps 46
Ballistic_Travel 30
Ballistic_Drop 0.0013

Recoil_Min_X 10
Recoil_Min_Y 20
Recoil_Max_X 10
Recoil_Max_Y 20

Recover_X 3
Recover_Y -4

Shake_Min_X 0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.03
Shake_Max_X 0.005
Shake_Max_Y 0.005
Shake_Max_Z -0.03

Muzzle 30041
Durability 0.5
Gunshot_Rolloff_Distance 1700

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Instakill_Headshots True

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements 

Recoil_Crouch 0.8
Recoil_Prone 0.8

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
