// Made in NPC Maker by BowieD
GUID 6f0c500da61d4b6c8cba709d93514cb2
Type Vendor
ID 13032
Selling 36
Selling_0_ID 56248
Selling_0_Cost 1100
Selling_1_ID 56225
Selling_1_Cost 33000
Selling_2_ID 56224
Selling_2_Cost 33000
Selling_3_ID 56237
Selling_3_Cost 42500
Selling_4_ID 56218
Selling_4_Cost 42500
Selling_5_ID 56228
Selling_5_Cost 20000
Selling_6_ID 56222
Selling_6_Cost 20000
Selling_7_ID 56230
Selling_7_Cost 30000
Selling_8_ID 56216
Selling_8_Cost 55000
Selling_9_ID 56217
Selling_9_Cost 75000
Selling_10_ID 56203
Selling_10_Cost 70000
Selling_11_ID 56215
Selling_11_Cost 70000
Selling_11_Conditions 1
Selling_11_Condition_0_Type Quest
Selling_11_Condition_0_ID 14041
Selling_11_Condition_0_Status Completed
Selling_11_Condition_0_Logic Equal
Selling_11_Condition_0_Ignore_NPC False

Selling_12_ID 56204
Selling_12_Cost 45000
Selling_13_ID 56226
Selling_13_Cost 88000
Selling_14_ID 56245
Selling_14_Cost 95000
Selling_15_ID 56209
Selling_15_Cost 95000
Selling_16_ID 56207
Selling_16_Cost 95000
Selling_17_ID 56266
Selling_17_Cost 95000
Selling_18_ID 56208
Selling_18_Cost 115000
Selling_19_ID 56210
Selling_19_Cost 115000
Selling_20_ID 56267
Selling_20_Cost 115000
Selling_21_ID 56202
Selling_21_Cost 135000
Selling_22_ID 56265
Selling_22_Cost 135000
Selling_23_ID 56200
Selling_23_Cost 135000
Selling_24_ID 56246
Selling_24_Cost 150000
Selling_25_ID 56232
Selling_25_Cost 190000
Selling_25_Conditions 1
Selling_25_Condition_0_Type Quest
Selling_25_Condition_0_ID 14041
Selling_25_Condition_0_Status Completed
Selling_25_Condition_0_Logic Equal
Selling_25_Condition_0_Ignore_NPC False

Selling_26_ID 56231
Selling_26_Cost 190000
Selling_26_Conditions 1
Selling_26_Condition_0_Type Quest
Selling_26_Condition_0_ID 14041
Selling_26_Condition_0_Status Completed
Selling_26_Condition_0_Logic Equal
Selling_26_Condition_0_Ignore_NPC False

Selling_27_ID 56201
Selling_27_Cost 135000
Selling_28_ID 56220
Selling_28_Cost 210000
Selling_29_ID 56221
Selling_29_Cost 210000
Selling_29_Conditions 1
Selling_29_Condition_0_Type Quest
Selling_29_Condition_0_ID 14037
Selling_29_Condition_0_Status None
Selling_29_Condition_0_Logic Equal
Selling_29_Condition_0_Ignore_NPC False

Selling_30_ID 56242
Selling_30_Cost 200000
Selling_30_Conditions 1
Selling_30_Condition_0_Type Quest
Selling_30_Condition_0_ID 14041
Selling_30_Condition_0_Status Completed
Selling_30_Condition_0_Logic Equal
Selling_30_Condition_0_Ignore_NPC False

Selling_31_ID 56238
Selling_31_Cost 215000
Selling_31_Conditions 1
Selling_31_Condition_0_Type Quest
Selling_31_Condition_0_ID 14041
Selling_31_Condition_0_Status Completed
Selling_31_Condition_0_Logic Equal
Selling_31_Condition_0_Ignore_NPC False

Selling_32_ID 56239
Selling_32_Cost 245000
Selling_32_Conditions 1
Selling_32_Condition_0_Type Quest
Selling_32_Condition_0_ID 14041
Selling_32_Condition_0_Status Completed
Selling_32_Condition_0_Logic Equal
Selling_32_Condition_0_Ignore_NPC False

Selling_33_ID 56211
Selling_33_Cost 215000
Selling_33_Conditions 1
Selling_33_Condition_0_Type Quest
Selling_33_Condition_0_ID 14041
Selling_33_Condition_0_Status None
Selling_33_Condition_0_Logic Equal
Selling_33_Condition_0_Ignore_NPC False

Selling_34_ID 56213
Selling_34_Cost 245000
Selling_34_Conditions 1
Selling_34_Condition_0_Type Quest
Selling_34_Condition_0_ID 14041
Selling_34_Condition_0_Status Completed
Selling_34_Condition_0_Logic Equal
Selling_34_Condition_0_Ignore_NPC False

Selling_35_ID 56206
Selling_35_Cost 280000
Selling_35_Conditions 1
Selling_35_Condition_0_Type Quest
Selling_35_Condition_0_ID 14044
Selling_35_Condition_0_Status Completed
Selling_35_Condition_0_Logic Equal
Selling_35_Condition_0_Ignore_NPC False

