// Made in NPC Maker by BowieD
GUID ca19315421534109901801d140b5cf63
Type Vendor
ID 13090
Selling 56
Selling_0_ID 32277
Selling_0_Cost 800
Selling_1_ID 32265
Selling_1_Cost 900
Selling_2_ID 32264
Selling_2_Cost 1200
Selling_3_ID 32266
Selling_3_Cost 1100
Selling_4_ID 63288
Selling_4_Cost 700
Selling_5_ID 32271
Selling_5_Cost 550
Selling_6_ID 63311
Selling_6_Cost 1500
Selling_7_ID 63291
Selling_7_Cost 1200
Selling_7_Conditions 1
Selling_7_Condition_0_Type Quest
Selling_7_Condition_0_ID 14034
Selling_7_Condition_0_Status Completed
Selling_7_Condition_0_Logic Equal
Selling_7_Condition_0_Ignore_NPC False

Selling_8_ID 17001
Selling_8_Cost 120
Selling_9_ID 63326
Selling_9_Cost 200
Selling_10_ID 63407
Selling_10_Cost 140
Selling_11_ID 31022
Selling_11_Cost 150
Selling_12_ID 39150
Selling_12_Cost 200
Selling_13_ID 63289
Selling_13_Cost 180
Selling_14_ID 39154
Selling_14_Cost 250
Selling_15_ID 33120
Selling_15_Cost 200
Selling_16_ID 33116
Selling_16_Cost 350
Selling_17_ID 31031
Selling_17_Cost 120
Selling_18_ID 33126
Selling_18_Cost 230
Selling_19_ID 33127
Selling_19_Cost 250
Selling_20_ID 33128
Selling_20_Cost 350
Selling_21_ID 33129
Selling_21_Cost 450
Selling_22_ID 17013
Selling_22_Cost 230
Selling_22_Conditions 1
Selling_22_Condition_0_Type Quest
Selling_22_Condition_0_ID 14037
Selling_22_Condition_0_Status Completed
Selling_22_Condition_0_Logic Equal
Selling_22_Condition_0_Ignore_NPC False

Selling_23_ID 33115
Selling_23_Cost 350
Selling_24_ID 33119
Selling_24_Cost 300
Selling_24_Conditions 1
Selling_24_Condition_0_Type Quest
Selling_24_Condition_0_ID 14025
Selling_24_Condition_0_Status Completed
Selling_24_Condition_0_Logic Equal
Selling_24_Condition_0_Ignore_NPC False

Selling_25_ID 63331
Selling_25_Cost 400
Selling_25_Conditions 1
Selling_25_Condition_0_Type Quest
Selling_25_Condition_0_ID 14025
Selling_25_Condition_0_Status Completed
Selling_25_Condition_0_Logic Equal
Selling_25_Condition_0_Ignore_NPC False

Selling_26_ID 33125
Selling_26_Cost 330
Selling_26_Conditions 1
Selling_26_Condition_0_Type Quest
Selling_26_Condition_0_ID 14027
Selling_26_Condition_0_Status Completed
Selling_26_Condition_0_Logic Equal
Selling_26_Condition_0_Ignore_NPC False

Selling_27_ID 33130
Selling_27_Cost 380
Selling_27_Conditions 1
Selling_27_Condition_0_Type Quest
Selling_27_Condition_0_ID 14027
Selling_27_Condition_0_Status Completed
Selling_27_Condition_0_Logic Equal
Selling_27_Condition_0_Ignore_NPC False

Selling_28_ID 33124
Selling_28_Cost 380
Selling_28_Conditions 1
Selling_28_Condition_0_Type Quest
Selling_28_Condition_0_ID 14027
Selling_28_Condition_0_Status Completed
Selling_28_Condition_0_Logic Equal
Selling_28_Condition_0_Ignore_NPC False

Selling_29_ID 31013
Selling_29_Cost 1945
Selling_29_Conditions 1
Selling_29_Condition_0_Type Quest
Selling_29_Condition_0_ID 14032
Selling_29_Condition_0_Status Completed
Selling_29_Condition_0_Logic Equal
Selling_29_Condition_0_Ignore_NPC False

Selling_30_ID 63615
Selling_30_Cost 230
Selling_31_ID 17030
Selling_31_Cost 320
Selling_31_Conditions 1
Selling_31_Condition_0_Type Quest
Selling_31_Condition_0_ID 14025
Selling_31_Condition_0_Status Completed
Selling_31_Condition_0_Logic Equal
Selling_31_Condition_0_Ignore_NPC False

Selling_32_ID 33131
Selling_32_Cost 200
Selling_32_Conditions 1
Selling_32_Condition_0_Type Quest
Selling_32_Condition_0_ID 14032
Selling_32_Condition_0_Status Completed
Selling_32_Condition_0_Logic Equal
Selling_32_Condition_0_Ignore_NPC False

Selling_33_ID 33102
Selling_33_Cost 400
Selling_33_Conditions 1
Selling_33_Condition_0_Type Quest
Selling_33_Condition_0_ID 14025
Selling_33_Condition_0_Status Completed
Selling_33_Condition_0_Logic Equal
Selling_33_Condition_0_Ignore_NPC False

Selling_34_ID 33101
Selling_34_Cost 400
Selling_34_Conditions 1
Selling_34_Condition_0_Type Quest
Selling_34_Condition_0_ID 14025
Selling_34_Condition_0_Status Completed
Selling_34_Condition_0_Logic Equal
Selling_34_Condition_0_Ignore_NPC False

Selling_35_ID 33103
Selling_35_Cost 450
Selling_35_Conditions 1
Selling_35_Condition_0_Type Quest
Selling_35_Condition_0_ID 14025
Selling_35_Condition_0_Status Completed
Selling_35_Condition_0_Logic Equal
Selling_35_Condition_0_Ignore_NPC False

Selling_36_ID 33112
Selling_36_Cost 420
Selling_36_Conditions 1
Selling_36_Condition_0_Type Quest
Selling_36_Condition_0_ID 14027
Selling_36_Condition_0_Status Completed
Selling_36_Condition_0_Logic Equal
Selling_36_Condition_0_Ignore_NPC False

Selling_37_ID 33105
Selling_37_Cost 400
Selling_38_ID 33104
Selling_38_Cost 400
Selling_38_Conditions 1
Selling_38_Condition_0_Type Quest
Selling_38_Condition_0_ID 14025
Selling_38_Condition_0_Status Completed
Selling_38_Condition_0_Logic Equal
Selling_38_Condition_0_Ignore_NPC False

Selling_39_ID 33109
Selling_39_Cost 570
Selling_39_Conditions 1
Selling_39_Condition_0_Type Quest
Selling_39_Condition_0_ID 14037
Selling_39_Condition_0_Status Completed
Selling_39_Condition_0_Logic Equal
Selling_39_Condition_0_Ignore_NPC False

Selling_40_ID 33122
Selling_40_Cost 480
Selling_40_Conditions 1
Selling_40_Condition_0_Type Quest
Selling_40_Condition_0_ID 14037
Selling_40_Condition_0_Status Completed
Selling_40_Condition_0_Logic Equal
Selling_40_Condition_0_Ignore_NPC False

Selling_41_ID 63926
Selling_41_Cost 500
Selling_41_Conditions 1
Selling_41_Condition_0_Type Quest
Selling_41_Condition_0_ID 14037
Selling_41_Condition_0_Status Completed
Selling_41_Condition_0_Logic Equal
Selling_41_Condition_0_Ignore_NPC False

Selling_42_ID 17033
Selling_42_Cost 320
Selling_42_Conditions 1
Selling_42_Condition_0_Type Quest
Selling_42_Condition_0_ID 14027
Selling_42_Condition_0_Status Completed
Selling_42_Condition_0_Logic Equal
Selling_42_Condition_0_Ignore_NPC False

Selling_43_ID 17028
Selling_43_Cost 220
Selling_43_Conditions 1
Selling_43_Condition_0_Type Quest
Selling_43_Condition_0_ID 14027
Selling_43_Condition_0_Status Completed
Selling_43_Condition_0_Logic Equal
Selling_43_Condition_0_Ignore_NPC False

Selling_44_ID 33114
Selling_44_Cost 460
Selling_44_Conditions 1
Selling_44_Condition_0_Type Quest
Selling_44_Condition_0_ID 14032
Selling_44_Condition_0_Status Completed
Selling_44_Condition_0_Logic Equal
Selling_44_Condition_0_Ignore_NPC False

Selling_45_ID 33113
Selling_45_Cost 700
Selling_45_Conditions 1
Selling_45_Condition_0_Type Quest
Selling_45_Condition_0_ID 14032
Selling_45_Condition_0_Status Completed
Selling_45_Condition_0_Logic Equal
Selling_45_Condition_0_Ignore_NPC False

Selling_46_ID 39166
Selling_46_Cost 600
Selling_46_Conditions 1
Selling_46_Condition_0_Type Quest
Selling_46_Condition_0_ID 14043
Selling_46_Condition_0_Status Completed
Selling_46_Condition_0_Logic Equal
Selling_46_Condition_0_Ignore_NPC False

Selling_47_ID 33111
Selling_47_Cost 700
Selling_47_Conditions 1
Selling_47_Condition_0_Type Quest
Selling_47_Condition_0_ID 14041
Selling_47_Condition_0_Status Completed
Selling_47_Condition_0_Logic Equal
Selling_47_Condition_0_Ignore_NPC False

Selling_48_ID 33110
Selling_48_Cost 580
Selling_48_Conditions 1
Selling_48_Condition_0_Type Quest
Selling_48_Condition_0_ID 14041
Selling_48_Condition_0_Status Completed
Selling_48_Condition_0_Logic Equal
Selling_48_Condition_0_Ignore_NPC False

Selling_49_ID 63836
Selling_49_Cost 800
Selling_49_Conditions 1
