// Made in NPC Maker by BowieD
GUID 78a8dd622ca64dde8ac7fda3a0cd7247
Type Dialogue
ID 12162
Messages 1
Message_0_Pages 1
Responses 3
Response_0_Dialogue 12191
Response_0_Conditions 2
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 14062
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Ignore_NPC False

Response_0_Condition_1_Type Quest
Response_0_Condition_1_ID 14054
Response_0_Condition_1_Status Completed
Response_0_Condition_1_Logic Equal
Response_0_Condition_1_Ignore_NPC False

Response_1_Dialogue 12192
Response_1_Quest 14062
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_ID 14062
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_Ignore_NPC False
Response_1_Condition_0_Reset 

