GUID 930272608cbc4a20bc7db5d76be43dba
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 6698

Size_X 4
Size_Y 2
Size_Z 0.3

Magazine 6699

Hook_Grip

Ammo_Min 3
Ammo_Max 3

Safety
Semi

Caliber 6699

Firerate 7
Replace 0.5
Action Rocket

Player_Damage 0
Player_Leg_Multiplier 0.55
Player_Arm_Multiplier 0.55
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 300
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 300
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 50
Resource_Damage 50
Object_Damage 50

Range 3
Explosion 121

Durability 1
Wear 5

Spread_Aim 0.04
Spread_Hip 0.065

Ballistic_Force 1200

Recoil_Min_X -1
Recoil_Min_Y 2
Recoil_Max_X -0.5
Recoil_Max_Y 3

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 6698
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Asset_Bundle_Version 2
