// Made in NPC Maker by BowieD
GUID 63c9b62654f74c0594d22897b8238e91
Type Dialogue
ID 12201
Messages 1
Message_0_Pages 1
Responses 7
Response_0_Conditions 1
Response_0_Condition_0_Type Flag_Bool
Response_0_Condition_0_ID 55446
Response_0_Condition_0_Value True
Response_0_Condition_0_Allow_Unset 
Response_0_Condition_0_Logic Equal

Response_2_Conditions 1
Response_2_Condition_0_Type Flag_Bool
Response_2_Condition_0_ID 55446
Response_2_Condition_0_Value True
Response_2_Condition_0_Allow_Unset 
Response_2_Condition_0_Logic Equal

Response_3_Conditions 1
Response_3_Condition_0_Type Flag_Bool
Response_3_Condition_0_ID 55446
Response_3_Condition_0_Value True
Response_3_Condition_0_Allow_Unset 
Response_3_Condition_0_Logic Equal

Response_4_Conditions 1
Response_4_Condition_0_Type Flag_Bool
Response_4_Condition_0_ID 55446
Response_4_Condition_0_Value True
Response_4_Condition_0_Allow_Unset 
Response_4_Condition_0_Logic Equal

Response_5_Conditions 1
Response_5_Condition_0_Type Flag_Bool
Response_5_Condition_0_ID 55446
Response_5_Condition_0_Value True
Response_5_Condition_0_Allow_Unset 
Response_5_Condition_0_Logic Equal

