GUID 80bf936082f244668bcb9e3140773b47

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 64583

Size_X 3
Size_Y 2
Size_Z 0.4

Unplace 0.01
Replace 0.01
EquipableModelParent SpineHook
EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_GRM.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Launchers/PS_GRM40

Magazine 10604

Ammo_Min 0
Ammo_Max 1

Shell 9000

Safety
Semi

Aim_In_Duration 0.25

Attachment_Calibers 1
Attachment_Caliber_0 18902

Magazine_Calibers 1
Magazine_Caliber_0 10604

Firerate 4
Action Trigger

Player_Damage 52
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.5

Zombie_Damage 52
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.5

Animal_Damage 52
Animal_Leg_Multiplier 0.4
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.5

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 20
Resource_Damage 50
Object_Damage 30

Durability 1

Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X 9
Recoil_Min_Y 10
Recoil_Max_X -9
Recoil_Max_Y 15

Recover_X 0.3
Recover_Y 0

Shake_Min_X -0.002
Shake_Min_Y -0.005
Shake_Min_Z -0.06
Shake_Max_X 0.002
Shake_Max_Y -0.015
Shake_Max_Z -0.08

Range 600
Ballistic_Steps 200
Ballistic_Travel 3
Ballistic_Drop 0.003

Muzzle 19016

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10583
Blueprint_1_Outputs 3
Blueprint_1_Output_0_ID 19262
Blueprint_1_Output_0_Amount 3
Blueprint_1_Output_1_ID 19010
Blueprint_1_Output_1_Amount 2
Blueprint_1_Output_2_ID 19028
Blueprint_1_Output_2_Amount 3
Blueprint_1_Tool 19004
Blueprint_1_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Quality_Min 60
Quality_Max 75

Gunshot_Rolloff_Distance 400
