GUID 297ac84553ad445f8fe71a6b33ac73b1

Type Magazine
Rarity Epic
ID 60032

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Magazines/PS_HMG_Box_HE

Size_X 2
Size_Y 2
Size_Z 0.395

Amount 50
Count_Min 15
Count_Max 50

Calibers 1
Caliber_0 10029

Tracer 19086

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10032
Blueprint_1_Build 30

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 19679
Blueprint_2_Supply_0_Amount 5
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 10032
Blueprint_2_Output_0_Amount 1
Blueprint_2_Tool 19374
Blueprint_2_Build 27

Use_Auto_Icon_Measurements False

Recoil 1.35
Ballistic_Damage_Multiplier 0.75

Range 6
Player_Damage 25
Zombie_Damage 55
Animal_Damage 66
Barricade_Damage 17
Structure_Damage 17
Vehicle_Damage 35
Resource_Damage 150
Object_Damage 15
Explosion 19044
Explosive
