GUID f4dbb22aad7d4fa785991bb671ac1756
Type Magazine
Rarity Epic
ID 10767

Size_X 10
Size_Y 10
Size_Z 10

Amount 100
Count_Min 100
Count_Max 100

Calibers 1
Caliber_0 10767

Tracer 19087

Ballistic_Damage_Multiplier 1.25

Range 4
Player_Damage 20
Zombie_Damage 20
Animal_Damage 20
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 85
Resource_Damage 20
Object_Damage 20
Explosion 19059
Explosive

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Magazines/Veh_Ammo/PS_HMG_Box_AP
