GUID dc201ee2988f48058f6e0729c0d5c5dd
Type Melee
Rarity Common
Useable Melee
ID 59006
Slot Any

Size_X 2
Size_Y 1
Size_Z 0.3

Range 1.75
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 15

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1


Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 0
Resource_Damage 14
Object_Damage 4

Quality_Min 100

BladeID 2

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59000
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
