GUID 908667fd98e24228a0801dc51db030ea

Type Barricade
Rarity Uncommon
Useable Barricade
Build Barricade
ID 59815

Size_X 2
Size_Y 1
Size_Z 0.42

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59010
Blueprint_0_Supply_0_Amount 8
Blueprint_0_Build 27
Blueprint_1_Type Gear
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59815
Blueprint_1_Product 59010
Blueprint_1_Products 8
Blueprint_1_Build 27

Health 60
Range 4
Radius 0.125
Offset 0.15

Explosion 36

Vulnerable

Salvage_Duration_Multiplier 0.1

PlacementAudioClip Sounds/MiscPlacement.mp3

Bypass_Pickup_Ownership True
