GUID 589ac8dc2e504bed9bf51f1d2c147ce5
Rarity Legendary
Type Vehicle
ID 19049

Speed_Min -5
Speed_Max 5
Steer_Min 12
Steer_Max 24

Health_Min 1700
Health_Max 1700
Health 1700


Explosion_Min_Force_X -16
Explosion_Min_Force_Y 128
Explosion_Min_Force_Z -16
Explosion_Max_Force_X 16
Explosion_Max_Force_Y 128
Explosion_Max_Force_Z 16

Bicycle
Bicycle_Anim_Speed 0.25
Stamina_Boost 0.6
Stamina_Powered

Has_Horn False
Can_Be_Locked False
Traction
Bumper_Multiplier 0
Exit 1.5
Brake 40
Tires_Invulnerable
Should_Spawn_Seat_Capsules true

Turrets 1
Turret_0_Seat_Index 0
Turret_0_Item_ID 10823
Turret_0_Yaw_Min -360
Turret_0_Yaw_Max 360
Turret_0_Pitch_Min 80
Turret_0_Pitch_Max 100
