GUID 930ce776a469471abd4d6618d1a544b9

Type Vehicle

Has_Clip_Prefab False

Rarity Rare
ID 19013

//////////////////////////////////////////////////////////Balance Stats

Passenger_Explosion_Armor 1

Melee_Damage_Multiplier 0.6

Speed_Min -20
Speed_Max 25

Steer_Min 25
Steer_Max 25

Brake 60

Fuel_Min 2000
Fuel_Max 2500
Fuel 5000

Health_Min 1400
Health_Max 1800
Health 2100

Trunk_Storage_X 6
Trunk_Storage_Y 10

Fuel_Burn_Rate 3

///////////////////////////////////////////////////////////////////////

Explosion 19021


Default_Battery a9c5e916c29646fdba9d08f6a7ce02b6
Battery_Burn_Rate 4
Battery_Charge_Rate 2
BatteryMode_Headlights Burn
BatteryMode_Sirens Burn
BatteryMode_Driving Charging
BatteryMode_Empty None

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered false
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered true
		IsColliderPowered false
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_2
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_2
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_3
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_3
		ModelUseColliderPose true
	}
]


Physics_Profile 25307aedab4144dc8d01c20abe7236cb
Should_Spawn_Seat_Capsules True



Tires_Invulnerable
Bumper_Invulnerable

Pitch_Drive 0.015

Valid_Speed_Horizontal 200

Turrets 1

Turret_0_Seat_Index 3
Turret_0_Item_ID 19163
Turret_0_Yaw_Min -35
Turret_0_Yaw_Max 35
Turret_0_Pitch_Min 49
Turret_0_Pitch_Max 108


DefaultPaintColors
[
    "#827868" // Desert
]


PaintableSections
[
    {
        Path Model_0
        MaterialIndex 1
    }
    {
        Path Model_1
        MaterialIndex 1
    }
    {
        Path Wheels/Wheel_0/Model_0
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_0/Model_1
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_1/Model_0
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_1/Model_1
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_2/Model_0
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_2/Model_1
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_3/Model_0
        MaterialIndex 0
    }
    {
        Path Wheels/Wheel_3/Model_1
        MaterialIndex 0
    }
]



ExplosionBurnMaterialSections
[
    {
        Path Model_0
		AllMaterials true
    }
    {
        Path Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_0/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_0/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_1/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_1/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_2/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_2/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_3/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_3/Model_1
		AllMaterials true
    }
]


