GUID 0393db6cdba04c6cb6243c3fceed76e8

Type Small
Has_Clip_Prefab false
ID 57418

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 57004
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 57004
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
Interactability_Reward_1_ID 57402
