GUID 5d1d3d7b41c84925b0b1b08e1c80b2ff


Type Magazine
Rarity Legendary
ID 52024

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Magazines/Military_Explosive_20

Spawn_Explosion_On_Dedicated_Server True
Size_X 1
Size_Y 2
Size_Z 0.3

Amount 100
Count_Min 5
Count_Max 15

Calibers 1
Caliber_0 1

Tracer 55
Spread 1.15

Range 0
Player_Damage 0
Zombie_Damage 10
Animal_Damage 10
Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 15
Resource_Damage 50
Object_Damage 15
Explosion 51095
// Explosion 51099
Explosive

Delete_Empty
