GUID fa76eb80e891418a8e9d615deefcdcc7

Type Melee
Rarity Mythical
Useable Melee
Slot Any
ID 51275

Size_X 4
Size_Y 2
Size_Z 0.5
Size2_Z 0.6

Range 2
Alert_Radius 24

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 55
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 55
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 35
Vehicle_Damage 15
Resource_Damage 80
Object_Damage 15

Durability 0

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 51017
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

Repeated
