GUID ae5744e79558430ba911f66e8c17de26

Type Barricade
Rarity Rare
Useable Barricade
Build Barricade
ID 41323
Health 10
Size_X 2
Size_Y 2
Size_Z 0.7
Bypass_Pickup_Ownership true
Allow_Placement_On_Vehicle false
Range 3
Radius 0.1
Offset 0.18
Salvage_Duration_Multiplier 0.1
Vulnerable
Explosion 41342
Unrepairable
Can_Be_Damaged true
Has_Clip_Prefab false
PlacementAudioClip Sounds/Placement_0.ogg
InventoryAudio Sounds/Inventory/ToolboxRustle/Toolbox_Rustle.asset
Use_Auto_Stat_Descriptions false
Use_Auto_Icon_Measurements True
SalvageItem ae5744e79558430ba911f66e8c17de26
Min_Items_Dropped_On_Destroy 1
Max_Items_Dropped_On_Destroy 4
Item_Dropped_On_Destroy fd570b7e91004501a88c988d70a31893





Blueprints
[
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "4f9fb8c83c494e2486329e494674813c x 10" // Metal Parts
		Effect "0ae7a614942043f8b7013e165e036eb2" // SC_Wrench_0
	}
]

Actions 1
Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Unstack
Action_0_Tooltip Spread out items for specific use.
Add_Default_Actions false
