GUID b8092a34ae9c4710836cd189134fa812
Type Melee
Rarity Uncommon
Useable Melee
Slot Secondary
ID 45444

Size_X 3
Size_Y 2
Size_Z 0.5
Size2_Z 0.6

Range 2
BladeID 2
Alert_Radius 24

Player_Damage 0
Player_Leg_Multiplier 0
Player_Arm_Multiplier 0
Player_Spine_Multiplier 0
Player_Skull_Multiplier 0

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 3
Structure_Damage 3
Vehicle_Damage 10
Resource_Damage 100
Object_Damage 10

Durability 0.25

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 45444
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27

Repeated
