GUID 65a1aae8b4ec4ecaa837ed00dd25b723

Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 63664

Size_X 5
Size_Y 2
Size_Z 0.365

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AK.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Assault_Rifles/PS_Musatyir_0

Magazine 63315
Grip 19750


Unplace 0.17
Replace 0.68


Semi
Auto

Attachment_Calibers 2
Attachment_Caliber_0 18905
Attachment_Caliber_1 18906

Magazine_Calibers 1
Magazine_Caliber_0 19315

Firerate 10
Action Trigger

Player_Damage 33
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 111
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 111
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 90

Durability 0.25

Spread_Aim 0.25
Spread_Hip 0.12

Recoil_Min_X -1
Recoil_Min_Y 6
Recoil_Max_X -5
Recoil_Max_Y 12

Recover_X -0.1
Recover_Y 0

Shake_Min_X -0.004
Shake_Min_Y -0.003
Shake_Min_Z -0.01
Shake_Max_X -0.004
Shake_Max_Y -0.003
Shake_Max_Z -0.01

Range 199
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.002

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.25
Damage_Falloff_Multiplier 0.6

Muzzle 19001

Shell 19004

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18400
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Gunshot_Rolloff_Distance 700

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1.2

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 50
Quality_Max 50
