GUID 05b46e4f8ccf46d789fa7db5557d0525

Type Gun
Rarity Legendary	
Useable Gun
Slot Secondary
ID 60021

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_LMG.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Machineguns/PS_LMG_Shorty

Aim_In_Duration 0.22
Equipable_Movement_Speed_Multiplier 0.9

Use_Auto_Icon_Measurements False

Size_X 3
Size_Y 2
Size_Z 0.35

Unplace 0.18
Replace 0.56

Sight 19261
Magazine 60022
Grip 19750

Ammo_Min 11
Ammo_Max 250

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 18901

Magazine_Calibers 1
Magazine_Caliber_0 10022

Firerate 2
Action Trigger

Player_Damage 30
Player_Leg_Multiplier 0.33
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 30
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 30
Animal_Leg_Multiplier 0.33
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2


BladeIDs 2
BladeID_0 0
BladeID_1 2

Barricade_Damage 8
Structure_Damage 8
Vehicle_Damage 5
Resource_Damage 200
Object_Damage 200

Durability 0.09

Spread_Aim 0.1
Spread_Hip 0.05

Recoil_Min_X -0.5
Recoil_Min_Y 2
Recoil_Max_X 1
Recoil_Max_Y 3

Recover_X 0.5
Recover_Y 0.25

Shake_Min_X 0.01
Shake_Min_Y -0.003
Shake_Min_Z -0.0075
Shake_Max_X -0.01
Shake_Max_Y -0.006
Shake_Max_Z -0.01

Range 600
Ballistic_Steps 60
Ballistic_Travel 10
Ballistic_Drop 0.0009

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.66
Damage_Falloff_Multiplier 0.6

Muzzle 19001
Shell 19018

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 75

Should_Delete_Empty_Magazines true

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19619
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10021
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 19262
Blueprint_1_Output_0_Amount 4
Blueprint_1_Output_1_ID 19028
Blueprint_1_Output_1_Amount 4
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Gunshot_Rolloff_Distance 1500
