GUID 85835be9387d4f0890ba2436df3c27ab
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 19274

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AR.wav

Size_X 5
Size_Y 2
Size_Z 0.35

Barrel 19954
Magazine 19955

Hook_Grip
Hook_Sight
Hook_Tactical

Ammo_Min 0
Ammo_Max 0

Auto
Semi

Magazine_Calibers 1
Magazine_Caliber_0 18836

Attachment_Calibers 3
//Scope
Attachment_Caliber_0 18911
//Grip
Attachment_Caliber_1 18930
//Tactical
Attachment_Caliber_2 18922

Unplace 0.1
Replace 0.42

Shell 0

Muzzle 19022

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 75

Blueprints 2

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

//Salvage
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 19274
Blueprint_1_Outputs 2
//Supply (High Tier Gun Parts)
Blueprint_1_Output_0_ID 19262
Blueprint_1_Output_0_Amount 2
//Supply (Illegal Gun Parts)
Blueprint_1_Output_1_ID 19342
Blueprint_1_Output_1_Amount 1
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_0_Link
Action_0_Text Repair
Action_0_Tooltip Repair gun.

////////////////////////////////////////Balance Stats

Range 100
Ballistic_Steps 10
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 200

Can_Ever_Jam
Jam_Quality_Threshold 0.5
Jam_Max_Chance 0.03
Unjam_Chamber_Anim Jam

Aim_In_Duration 0.4

Firerate 3
Action Trigger

Player_Damage 13
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.9

Zombie_Damage 26
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.9

Animal_Damage 26
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.9

Barricade_Damage 13
Structure_Damage 13
Vehicle_Damage 13
Resource_Damage 26
Object_Damage 26

Durability 0.03

Recoil_Min_X -0.05
Recoil_Min_Y 0.9
Recoil_Max_X 0.05
Recoil_Max_Y 1.2

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X -0.001
Shake_Min_Y -0.0006
Shake_Min_Z 0
Shake_Max_X 0.001
Shake_Max_Y 0.001
Shake_Max_Z -0.0001

Recoil_Crouch 1.1
Recoil_Prone 2.5
Recoil_Midair 3

Spread_Aim 0.06
Spread_Hip 0.12
Spread_Prone 0.5
Spread_Crouch 0.9
Spread_Midair 3
