// This file was generated in Demo build of BowieD's AssetEditor 0.0.16-alpha.6
Message_0_Page_0 Heir to barter soem goods??
Response_0 Police Truck - Safezone
Response_1 Complete Police Truck - Safezone
Response_2 Police Truck - Safezone
Response_3 Minsk Motobike - Safezone
Response_4 Complete Minsk Motobike - Safezone
Response_5 Minsk Motobike - Safezone
Response_6 BRDM-2 - Safezone
Response_7 Complete BRDM-2 - Safezone
Response_8 BRDM-2 - Safezone
Response_9 HAYLEX-85 Technical - Safezone
Response_10 Complete HAYLEX-85 Technical - Safezone
Response_11 HAYLEX-85 Technical - Safezone
Response_12 URAL Gradik - Safezone
Response_13 Complete URAL Gradik - Safezone
Response_14 URAL Gradik - Safezone
Response_15 ZUK-15 POCO - Safezone
Response_16 Complete ZUK-15 POCO - Safezone
Response_17 ZUK-15 POCO - Safezone
Response_18 M11 Bruno - Safezone
Response_19 Complete M11 Bruno - Safezone
Response_20 M11 Bruno - Safezone
Response_21 HH-6 HMG-Launch - Safezone
Response_22 Complete HH-6 HMG-Launch - Safezone
Response_23 HH-6 HMG-Launch - Safezone
Response_24 Return.
