GUID f29518908c2a4a0ab06aff5b341d3ba8
Type Gun
Rarity Rare
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Secondary
ID 30014

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Kasov.wav

Size_X 2
Size_Y 2
Size_Z 0.45

Magazine 63326

Alert_Radius 5

Can_Aim_During_Sprint True


Ammo_Min 10
Ammo_Max 17

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 19327

Muzzle 30034

Shell 30000




BladeIDs 2
BladeID_0 0
BladeID_1 2

Player_Damage_Bleeding Always

Blueprints 1
//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Use_Auto_Stat_Descriptions false

////////////////////////////////////////Balance Stats

Range 200
Ballistic_Steps 20
Ballistic_Drop 0.00098
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 400




Firerate 5
Action Trigger

Player_Damage 25
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.7

Zombie_Damage 50
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.7

Animal_Damage 50
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.7

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 8
Resource_Damage 10
Object_Damage 15

Durability 0.05

Recoil_Min_X -1
Recoil_Min_Y 6.2
Recoil_Max_X 1
Recoil_Max_Y 7

Recover_X 0.8
Recover_Y 0.85

Shake_Min_X -0.0115
Shake_Max_X 0.0115

Shake_Min_Y -0.035
Shake_Max_Y -0.045

Shake_Min_Z -0.015
Shake_Max_Z -0.025

Recoil_Midair 3

Spread_Aim 0.05
Spread_Hip 0.1
Spread_Midair 3
Spread_Sprint 1.5
