GUID 368cad2179044c88a2e4c49246fd9399
Type Grip
Rarity Rare
ID 10664

Size_X 1
Size_Y 1
Size_Z 0.175

Calibers 1
Caliber_0 18930

Recoil_X 0.95
Recoil_Y 0.85
Shake 0.96

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 10664
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 19000
Blueprint_0_Output_0_Amount 4
Blueprint_0_Tool 19004
Blueprint_0_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_0_Link
Action_0_Text Scrap
Action_0_Tooltip Turn into components.
