GUID a1a9955693334d57b1649363e1c806c2
Type Melee
Rarity Uncommon
Useable Melee
Slot Any
ID 59168

Size_X 1
Size_Y 3
Size_Z 0.93

Range 2.25
Strength 1.5
Weak 0.5
Strong 0.47
Stamina 20

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 80
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.5

Animal_Damage 80
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.5

Barricade_Damage 70
Structure_Damage 70
Vehicle_Damage 30
Resource_Damage 120
Object_Damage 100

Quality_Min 100

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59000
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
