GUID 3d6bc2b0e2e549759b02e7ef4bc3be79

Type Small
Has_Clip_Prefab false
ID 57999

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 57210
Interactability_Reward_0_Value 0
Interactability_Reward_0_Modification Assign
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 57209
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign
Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 57208
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment

Conditions 3
Condition_0_Type Flag_Short
Condition_0_ID 57210
Condition_0_Value 4
Condition_0_Logic Equal

Condition_1_Type Flag_Short
Condition_1_ID 57209
Condition_1_Value 4
Condition_1_Logic Equal
Condition_1_Allow_Unset

Condition_2_Type Flag_Short
Condition_2_ID 57208
Condition_2_Value 3
Condition_2_Logic Less_Than
Condition_2_Allow_Unset

Interactability_Conditions 2
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 57466
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset

Interactability_Condition_1_Type Flag_Bool
Interactability_Condition_1_ID 57367
Interactability_Condition_1_Value True
Interactability_Condition_1_Logic Equal




Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Objects/Quest/NPC/Bank/Metro_Deposit
