GUID 656d0c41cfd7425fb04f5d18ce9481dd
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 51222

Size_X 3
Size_Y 2
Size_Z 0.35

Magazine 51912

Hook_Barrel
Hook_Sight
Hook_Grip
Hook_Tactical
Shell 51051
Ballistic_Travel 7
Bullet_Gravity_Multiplier 4
Ammo_Min 25
Ammo_Max 50

Auto
Semi

Range 300
Damage_Falloff_Multiplier 0.5
Damage_Falloff_Range 0.033
Damage_Falloff_Max_Range 0.167

Caliber 51008

Firerate 4
Action Trigger

Player_Damage 27
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 0.75
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.25

Zombie_Damage 99
Zombie_Leg_Multiplier 0.35
Zombie_Arm_Multiplier 0.35
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.2

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 25

Durability 0
Quality_Min 100
Quality_Max 100

Aim_In_Duration 0.15

Recoil_Min_X 1.6
Recoil_Max_X 2

Recoil_Min_Y 4
Recoil_Max_Y 4.6

Spread_Aim 0.2
Spread_Hip 0.11

Remove 0
Replace 0

Recover_X 0.1
Recover_Y 0.1

Shake_Min_X .01
Shake_Min_Y 0
Shake_Min_Z -.03
Shake_Max_X -.01
Shake_Max_Y 0
Shake_Max_Z -.05

Muzzle 19023

Blueprints 1

Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
