// Made in NPC Maker by BowieD
GUID c9734995985640ad91b262cc6a802c0c
Type Vendor
ID 13013
Buying 21
Buying_0_ID 59284
Buying_0_Cost 65
Buying_1_ID 59282
Buying_1_Cost 120
Buying_2_ID 59283
Buying_2_Cost 100
Buying_3_ID 59279
Buying_3_Cost 90
Buying_4_ID 59794
Buying_4_Cost 200
Buying_5_ID 59538
Buying_5_Cost 110
Buying_6_ID 59280
Buying_6_Cost 100
Buying_7_ID 59277
Buying_7_Cost 100
Buying_8_ID 19129
Buying_8_Cost 190
Buying_9_ID 59576
Buying_9_Cost 60
Buying_10_ID 59539
Buying_10_Cost 110
Buying_11_ID 59162
Buying_11_Cost 80
Buying_12_ID 59278
Buying_12_Cost 155
Buying_13_ID 59131
Buying_13_Cost 140
Buying_14_ID 59624
Buying_14_Cost 90
Buying_15_ID 19548
Buying_15_Cost 90
Buying_16_ID 59130
Buying_16_Cost 100
Buying_17_ID 19286
Buying_17_Cost 350
Buying_18_ID 59376
Buying_18_Cost 1100
Buying_19_ID 19959
Buying_19_Cost 700
Buying_20_ID 59285
Buying_20_Cost 1700
